令和６（２０２４）年　社会医療診療行為別統計　令和６年８月審査分,,,,,,,,,,
診療行為の状況　医科診療　第１８表　医科診療　回数・点数，診療行為（細分類）、入院－入院外別,,,,,,,,,,
注：１）表側欄内の数字は固定点数である。,,,,,,,,,,
注：２）＊がついている診療行為の回数は再掲である。,,,,,,,,,,
注：３）「回数」は、当該診療行為が実施された延べ算定回数である。,,,,,,,,,,
注：４）総数には、入院時食事・生活療養を含まない。,,,,,,,,,,
注：５）「結核病棟特別入院基本料」には、特定機能病院の特別入院基本料を含む。,,,,,,,,,,
注：６）「薬剤料（診療識別80）」は、リハビリテーション及び精神科専門療法の薬剤料である。,,,,,,,,,,
注：７）「特定保険医療材料料（診療識別80）　酸素料」は、精神科専門療法の酸素料である。,,,,,,,,,,
注：８）「特定保険医療材料料（診療識別80）　酸素料以外」は、精神科専門療法及び放射線治療の特定保険医療材料料である。,,,,,,,,,,
注：９）「造血幹細胞移植　提供者の療養上の費用」には、骨髄移植及び末梢血管細胞移植における提供者の療養上の費用を含む。,,,,,,,,,,
,,,,,総数,総数,入院,入院,入院外,入院外
,,,,,回数,点数,回数,点数,回数,点数
診療行為１,診療行為２,診療行為３,固定点数,再掲,回,点,回,点,回,点
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,人工関節再置換術　指（手，足）,21930 ,,12 ,263160 ,11 ,241230 ,1 ,21930 
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,自家肋骨肋軟骨関節全置換術,91500 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,人工距骨全置換術,27210 ,,9 ,244890 ,9 ,244890 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,人工股関節摺動面交換術,25000 ,,68 ,1700000 ,68 ,1700000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,人工股関節置換術（手術支援装置を用いるもの）,43260 ,,647 ,27989220 ,635 ,27470100 ,12 ,519120 
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,鋼線等による直達牽引（初日）,3620 ,,672 ,2432640 ,664 ,2403680 ,8 ,28960 
手術計,筋骨格系・四肢・体幹小計－（四肢関節，靱帯）,内反足足板挺子固定,2330 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,（四肢切断，離断，再接合）,,,,,,,,
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　上腕,24320 ,,5 ,121600 ,5 ,121600 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　前腕,24320 ,,8 ,194560 ,8 ,194560 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　手,24320 ,,8 ,194560 ,7 ,170240 ,1 ,24320 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　大腿,24320 ,,263 ,6396160 ,263 ,6396160 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　下腿,24320 ,,271 ,6590720 ,271 ,6590720 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢切断術　足,24320 ,,158 ,3842560 ,157 ,3818240 ,1 ,24320 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,肩甲帯離断術,36500 ,,2 ,73000 ,2 ,73000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　肩,31000 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　股,31000 ,,9 ,279000 ,9 ,279000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　膝,31000 ,,9 ,279000 ,9 ,279000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　肘,11360 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　手,11360 ,,1 ,11360 ,1 ,11360 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　足,11360 ,,22 ,249920 ,21 ,238560 ,1 ,11360 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,四肢関節離断術　指（手，足）,3330 ,,216 ,719280 ,189 ,629370 ,27 ,89910 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,断端形成術（軟部形成のみのもの）　指（手，足）,2770 ,,191 ,529070 ,137 ,379490 ,54 ,149580 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,断端形成術（軟部形成のみのもの）　その他,3300 ,,4 ,13200 ,4 ,13200 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,断端形成術（骨形成を要するもの）　指（手，足）,7410 ,,748 ,5542680 ,650 ,4816500 ,98 ,726180 
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,断端形成術（骨形成を要するもの）　その他,10630 ,,24 ,255120 ,24 ,255120 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,切断四肢再接合術　四肢,144680 ,,2 ,289360 ,2 ,289360 ,-,-
手術計,筋骨格系・四肢・体幹小計－（四肢切断，離断，再接合）,切断四肢再接合術　指（手，足）,81900 ,,26 ,2129400 ,24 ,1965600 ,2 ,163800 
手術計,筋骨格系・四肢・体幹小計－（手，足）,（手，足）,,,,,,,,
手術計,筋骨格系・四肢・体幹小計－（手，足）,爪甲除去術,770 ,,4672 ,3597440 ,166 ,127820 ,4506 ,3469620 
手術計,筋骨格系・四肢・体幹小計－（手，足）,ひょう疽手術　軟部組織のもの,1190 ,,1507 ,1793330 ,8 ,9520 ,1499 ,1783810 
手術計,筋骨格系・四肢・体幹小計－（手，足）,ひょう疽手術　骨，関節のもの,1470 ,,23 ,33810 ,1 ,1470 ,22 ,32340 
手術計,筋骨格系・四肢・体幹小計－（手，足）,風棘手術,990 ,,3 ,2970 ,-,-,3 ,2970 
手術計,筋骨格系・四肢・体幹小計－（手，足）,陥入爪手術　簡単なもの,1400 ,,7989 ,11184600 ,179 ,250600 ,7810 ,10934000 
手術計,筋骨格系・四肢・体幹小計－（手，足）,陥入爪手術　爪床爪母の形成を伴う複雑なもの,2490 ,,1752 ,4362480 ,96 ,239040 ,1656 ,4123440 
手術計,筋骨格系・四肢・体幹小計－（手，足）,手根管開放手術,4110 ,,2726 ,11203860 ,909 ,3735990 ,1817 ,7467870 
手術計,筋骨格系・四肢・体幹小計－（手，足）,関節鏡下手根管開放手術,10400 ,,1050 ,10920000 ,369 ,3837600 ,681 ,7082400 
手術計,筋骨格系・四肢・体幹小計－（手，足）,足三関節固定（ランブリヌディ）手術,27890 ,,11 ,306790 ,11 ,306790 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,手掌，足底腱膜切離・切除術　鏡視下によるもの,4340 ,,5 ,21700 ,5 ,21700 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,手掌，足底腱膜切離・切除術　その他のもの,2750 ,,24 ,66000 ,19 ,52250 ,5 ,13750 
手術計,筋骨格系・四肢・体幹小計－（手，足）,体外衝撃波疼痛治療術（一連につき）,5000 ,,343 ,1715000 ,2 ,10000 ,341 ,1705000 
手術計,筋骨格系・四肢・体幹小計－（手，足）,手掌異物摘出術,3190 ,,221 ,704990 ,10 ,31900 ,211 ,673090 
手術計,筋骨格系・四肢・体幹小計－（手，足）,足底異物摘出術,3190 ,,256 ,816640 ,14 ,44660 ,242 ,771980 
手術計,筋骨格系・四肢・体幹小計－（手，足）,指瘢痕拘縮手術,8150 ,,59 ,480850 ,54 ,440100 ,5 ,40750 
手術計,筋骨格系・四肢・体幹小計－（手，足）,デュプイトレン拘縮手術　１指,10430 ,,103 ,1074290 ,76 ,792680 ,27 ,281610 
手術計,筋骨格系・四肢・体幹小計－（手，足）,デュプイトレン拘縮手術　２指から３指,22480 ,,132 ,2967360 ,102 ,2292960 ,30 ,674400 
手術計,筋骨格系・四肢・体幹小計－（手，足）,デュプイトレン拘縮手術　４指以上,32710 ,,5 ,163550 ,5 ,163550 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,多指症手術　軟部形成のみのもの,2640 ,,33 ,87120 ,31 ,81840 ,2 ,5280 
手術計,筋骨格系・四肢・体幹小計－（手，足）,多指症手術　骨関節，腱の形成を要するもの,15570 ,,77 ,1198890 ,77 ,1198890 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,合指症手術　軟部形成のみのもの,9770 ,,46 ,449420 ,46 ,449420 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,合指症手術　骨関節，腱の形成を要するもの,15570 ,,33 ,513810 ,33 ,513810 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,指癒着症手術　軟部形成のみのもの,7320 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,指癒着症手術　骨関節，腱の形成を要するもの,13910 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,巨指症手術　軟部形成のみのもの,8720 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,巨指症手術　骨関節，腱の形成を要するもの,21240 ,,2 ,42480 ,2 ,42480 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,屈指症手術　軟部形成のみのもの,13810 ,,10 ,138100 ,10 ,138100 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,斜指症手術　軟部形成のみのもの,13810 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,屈指症手術　骨関節，腱の形成を要するもの,15570 ,,69 ,1074330 ,68 ,1058760 ,1 ,15570 
手術計,筋骨格系・四肢・体幹小計－（手，足）,斜指症手術　骨関節，腱の形成を要するもの,15570 ,,4 ,62280 ,4 ,62280 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,裂手手術,27890 ,,5 ,139450 ,5 ,139450 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,裂足手術,27890 ,,3 ,83670 ,3 ,83670 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,母指化手術,35610 ,,2 ,71220 ,2 ,71220 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,指移植手術,116670 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,母指対立再建術,22740 ,,90 ,2046600 ,72 ,1637280 ,18 ,409320 
手術計,筋骨格系・四肢・体幹小計－（手，足）,神経血管柄付植皮術（手）,40460 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,神経血管柄付植皮術（足）,40460 ,,-,-,-,-,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,第四足指短縮症手術,10790 ,,2 ,21580 ,2 ,21580 ,-,-
手術計,筋骨格系・四肢・体幹小計－（手，足）,第一足指外反症矯正手術,10790 ,,458 ,4941820 ,447 ,4823130 ,11 ,118690 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,（脊柱，骨盤）,,,,,,,,
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,腸骨窩膿瘍切開術,4670 ,,6 ,28020 ,6 ,28020 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,腸骨窩膿瘍掻爬術,13920 ,,8 ,111360 ,8 ,111360 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎骨掻爬術,17170 ,,44 ,755480 ,44 ,755480 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤骨掻爬術,17170 ,,4 ,68680 ,4 ,68680 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎脱臼非観血的整復術,2950 ,,21 ,61950 ,4 ,11800 ,17 ,50150 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,頸椎非観血的整復術,2950 ,,7 ,20650 ,6 ,17700 ,1 ,2950 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎，骨盤脱臼観血的手術,31030 ,,3 ,93090 ,3 ,93090 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,仙腸関節脱臼観血的手術,24320 ,,2 ,48640 ,2 ,48640 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,恥骨結合離開観血的手術,7890 ,,1 ,7890 ,1 ,7890 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,恥骨結合離開非観血的整復固定術,1810 ,,3 ,5430 ,1 ,1810 ,2 ,3620 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤骨折非観血的整復術,2950 ,,18 ,53100 ,13 ,38350 ,5 ,14750 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,腸骨翼骨折観血的手術,15760 ,,13 ,204880 ,13 ,204880 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,寛骨臼骨折観血的手術,58840 ,,58 ,3412720 ,58 ,3412720 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤骨折観血的手術（腸骨翼骨折観血的手術及び寛骨臼骨折観血的手術を除く）,32110 ,,135 ,4334850 ,135 ,4334850 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎，骨盤骨（軟骨）組織採取術（試験切除によるもの）　棘突起,3620 ,,14 ,50680 ,14 ,50680 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎，骨盤骨（軟骨）組織採取術（試験切除によるもの）　腸骨翼,3620 ,,8 ,28960 ,8 ,28960 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎，骨盤骨（軟骨）組織採取術（試験切除によるもの）　その他のもの,4510 ,,56 ,252560 ,55 ,248050 ,1 ,4510 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,自家培養軟骨組織採取術,4510 ,,9 ,40590 ,9 ,40590 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎内異物（挿入物）除去術,13520 ,,317 ,4285840 ,315 ,4258800 ,2 ,27040 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤内異物（挿入物）除去術,13520 ,,65 ,878800 ,64 ,865280 ,1 ,13520 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎弓切除術,17300 ,,288 ,4982400 ,288 ,4982400 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎弓切除術　椎弓　加算,8650 ,*,352 ,3044800 ,352 ,3044800 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,黄色靱帯骨化症手術,28730 ,,59 ,1695070 ,59 ,1695070 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,後縦靱帯骨化症手術　前方進入によるもの,78500 ,,8 ,628000 ,8 ,628000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板摘出術　前方摘出術　,40180 ,,17 ,683060 ,17 ,683060 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板摘出術　後方摘出術　,23520 ,,1229 ,28906080 ,1229 ,28906080 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板摘出術　後方摘出術　複数椎間板　加算,11760 ,*,68 ,799680 ,68 ,799680 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板摘出術　側方摘出術　,28210 ,,11 ,310310 ,11 ,310310 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板摘出術　経皮的髄核摘出術,15310 ,,41 ,627710 ,37 ,566470 ,4 ,61240 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎間板摘出（切除）術　前方摘出術,75600 ,,3 ,226800 ,3 ,226800 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎間板摘出（切除）術　後方摘出術,30390 ,,1375 ,41786250 ,1288 ,39142320 ,87 ,2643930 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎間板摘出（切除）術　後方摘出術　複数椎間板　加算,15195 ,*,61 ,926895 ,56 ,850920 ,5 ,75975 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,人工椎間板置換術（頸椎）,40460 ,,28 ,1132880 ,28 ,1132880 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,人工椎間板置換術（頸椎）　２椎間板　加算,20230 ,*,6 ,121380 ,6 ,121380 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,椎間板内酵素注入療法,5350 ,,474 ,2535900 ,346 ,1851100 ,128 ,684800 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎腫瘍切除術,36620 ,,15 ,549300 ,15 ,549300 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤腫瘍切除術,36620 ,,5 ,183100 ,5 ,183100 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎悪性腫瘍手術,101330 ,,36 ,3647880 ,36 ,3647880 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤悪性腫瘍手術,101330 ,,5 ,506650 ,5 ,506650 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,腫瘍脊椎骨全摘術,113830 ,,3 ,341490 ,3 ,341490 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤切断術,48650 ,,1 ,48650 ,1 ,48650 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎披裂手術　神経処置を伴うもの　,29370 ,,14 ,411180 ,14 ,411180 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎披裂手術　その他のもの　,22780 ,,2 ,45560 ,2 ,45560 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎骨切り術,60330 ,,5 ,301650 ,5 ,301650 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,骨盤骨切り術,36990 ,,3 ,110970 ,3 ,110970 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,臼蓋形成手術,28220 ,,7 ,197540 ,7 ,197540 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,寛骨臼移動術,40040 ,,99 ,3963960 ,99 ,3963960 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎制動術,16810 ,,13 ,218530 ,13 ,218530 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　前方椎体固定,41710 ,,713 ,29739230 ,713 ,29739230 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　前方椎体固定　椎間又は椎弓　加算,20855 ,*,608 ,12679840 ,608 ,12679840 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　後方又は後側方固定,32890 ,,2379 ,78245310 ,2376 ,78146640 ,3 ,98670 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　後方又は後側方固定　椎間又は椎弓　加算,16445 ,*,5645 ,92832025 ,5641 ,92766245 ,4 ,65780 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　後方椎体固定,41160 ,,3186 ,131135760 ,3186 ,131135760 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　後方椎体固定　椎間又は椎弓　加算,20580 ,*,999 ,20559420 ,999 ,20559420 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　前方後方同時固定,74580 ,,714 ,53250120 ,714 ,53250120 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　前方後方同時固定　椎間又は椎弓　加算,37290 ,*,575 ,21441750 ,575 ,21441750 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　椎弓切除,13310 ,,1889 ,25142590 ,1889 ,25142590 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　椎弓切除　椎間又は椎弓　加算,6655 ,*,6395 ,42558725 ,6395 ,42558725 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　椎弓形成,24260 ,,3802 ,92236520 ,3802 ,92236520 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎固定術，椎弓切除術，椎弓形成術（多椎間又は多椎弓の場合を含む）　椎弓形成　椎間又は椎弓　加算,12130 ,*,8156 ,98932280 ,8153 ,98895890 ,3 ,36390 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　固定術,55950 ,,341 ,19078950 ,341 ,19078950 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　固定術　椎間　加算　,27975 ,*,1303 ,36451425 ,1303 ,36451425 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　矯正術　初回挿入,112260 ,,8 ,898080 ,8 ,898080 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　矯正術　交換術,48650 ,,3 ,145950 ,3 ,145950 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　矯正術　交換術　椎間　加算　,24325 ,*,8 ,194600 ,8 ,194600 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,脊椎側彎症手術　矯正術　伸展術,20540 ,,28 ,575120 ,28 ,575120 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下脊椎固定術（胸椎又は腰椎前方固定）,101910 ,,48 ,4891680 ,48 ,4891680 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下脊椎固定術（胸椎又は腰椎前方固定）　椎間　加算,50955 ,*,7 ,356685 ,7 ,356685 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,経皮的椎体形成術,19960 ,,1726 ,34450960 ,1720 ,34331200 ,6 ,119760 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,経皮的椎体形成術　椎体　加算,9980 ,*,92 ,918160 ,92 ,918160 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎弓形成術,30390 ,,914 ,27776460 ,899 ,27320610 ,15 ,455850 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,内視鏡下椎弓形成術　椎弓　加算,15195 ,*,808 ,12277560 ,805 ,12231975 ,3 ,45585 
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,歯突起骨折骨接合術,23750 ,,4 ,95000 ,4 ,95000 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,腰椎分離部修復術,28210 ,,8 ,225680 ,8 ,225680 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,顕微鏡下腰部脊柱管拡大減圧術,24560 ,,354 ,8694240 ,354 ,8694240 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,仙腸関節固定術,29190 ,,2 ,58380 ,2 ,58380 ,-,-
手術計,筋骨格系・四肢・体幹小計－（脊柱，骨盤）,体外式脊椎固定術,25800 ,,67 ,1728600 ,67 ,1728600 ,-,-
手術計,神経系・頭蓋小計,神経系・頭蓋小計,,,18460 ,731317010 ,17217 ,721307170 ,1243 ,10009840 
手術計,神経系・頭蓋小計－（頭蓋，脳）,（頭蓋，脳）,,,,,,,,
手術計,神経系・頭蓋小計－（頭蓋，脳）,穿頭脳室ドレナージ術,2330 ,,476 ,1109080 ,476 ,1109080 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,皮下髄液貯溜槽留置術,5290 ,,26 ,137540 ,26 ,137540 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,頭蓋開溝術,17310 ,,3 ,51930 ,3 ,51930 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,穿頭術（トレパナチオン）,1840 ,,23 ,42320 ,23 ,42320 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,頭蓋内モニタリング装置挿入術,6310 ,,33 ,208230 ,33 ,208230 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,緊急穿頭血腫除去術,10900 ,,8 ,87200 ,8 ,87200 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,試験開頭術,15850 ,,100 ,1585000 ,100 ,1585000 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,減圧開頭術　キアリ奇形，脊髄空洞症の場合,28280 ,,24 ,678720 ,24 ,678720 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,減圧開頭術　その他の場合,26470 ,,189 ,5002830 ,189 ,5002830 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,後頭蓋窩減圧術,31000 ,,15 ,465000 ,15 ,465000 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,脳膿瘍排膿術,21470 ,,74 ,1588780 ,74 ,1588780 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,広範囲頭蓋底腫瘍切除・再建術,216230 ,,35 ,7568050 ,35 ,7568050 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,耳性頭蓋内合併症手術,56950 ,,-,-,-,-,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,耳科的硬脳膜外膿瘍切開術,49520 ,,-,-,-,-,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,鼻性頭蓋内合併症手術,52870 ,,-,-,-,-,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,機能的定位脳手術　片側の場合　,52300 ,,58 ,3033400 ,58 ,3033400 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,機能的定位脳手術　両側の場合　,94500 ,,1 ,94500 ,1 ,94500 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,顕微鏡使用によるてんかん手術（焦点切除術）,131630 ,,20 ,2632600 ,20 ,2632600 ,-,-
手術計,神経系・頭蓋小計－（頭蓋，脳）,顕微鏡使用によるてんかん手術（側頭葉切除術）,131630 ,,13 ,1711190 ,13 ,1711190 ,-,-
