"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1102","","A110201","","A110202","","A141501","","A141502","","A141601","","A141602","","A141701","","A141702","","A141801","","A141802","","A191003","","A191005","","A191007","","A5103","","A5104","","A7101","","I5101","","I510120","","I510150","","I5102","","I510201","","J230113","","J230133","","J230223",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A110201_日本人人口（男）【人】","注釈","A110202_日本人人口（女）【人】","注釈","A141501_40歳以上人口（男）【人】","注釈","A141502_40歳以上人口（女）【人】","注釈","A141601_60歳以上人口（男）【人】","注釈","A141602_60歳以上人口（女）【人】","注釈","A141701_70歳以上人口（男）【人】","注釈","A141702_70歳以上人口（女）【人】","注釈","A141801_80歳以上人口（男）【人】","注釈","A141802_80歳以上人口（女）【人】","注釈","A191003_将来推計人口（2030年）【人】","注釈","A191005_将来推計人口（2040年）【人】","注釈","A191007_将来推計人口（2050年）【人】","注釈","A5103_転入者数【人】","注釈","A5104_転出者数【人】","注釈","A7101_世帯数【世帯】","注釈","I5101_病院数【施設】","注釈","I510120_一般病院数【施設】","注釈","I510150_療養病床を有する病院数【施設】","注釈","I5102_一般診療所数【施設】","注釈","I510201_有床一般診療所数【施設】","注釈","J230113_養護老人ホーム在所者数（詳細票）【人】","注釈","J230133_軽費老人ホーム在所者数（詳細票）【人】","注釈","J230223_有料老人ホーム在所者数（詳細票）【人】","注釈"
"2018100000","2018年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8,415","","7,775","","***","","9","","8","","3","","105","","13","","***","","***","","***",""
"2018100000","2018年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12,989","","12,839","","***","","13","","13","","5","","209","","25","","***","","***","","***",""
"2017100000","2017年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,667,501","","1,671,888","","***","","***","","***","","***","","116","","103","","47","","1,555","","143","","192","","1,068","","7,119",""
"2017100000","2017年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","335,140","","337,957","","***","","***","","***","","***","","22","","19","","10","","207","","20","","90","","406","","1,494",""
"2017100000","2017年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","255,649","","258,408","","***","","***","","***","","***","","18","","18","","6","","269","","18","","0","","181","","1,024",""
"2017100000","2017年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","218,687","","221,756","","***","","***","","***","","***","","16","","15","","5","","382","","25","","0","","122","","487",""
"2017100000","2017年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","266,928","","263,382","","***","","***","","***","","***","","18","","15","","6","","223","","18","","50","","19","","1,084",""
"2017100000","2017年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","230,246","","234,251","","***","","***","","***","","***","","20","","15","","12","","163","","23","","52","","243","","1,162",""
"2017100000","2017年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","133,873","","131,277","","***","","***","","***","","***","","9","","8","","3","","104","","14","","0","","70","","661",""
"2017100000","2017年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","226,978","","224,857","","***","","***","","***","","***","","13","","13","","5","","207","","25","","0","","27","","1,207",""
"2016100000","2016年度","40130","福岡県 福岡市","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115","","102","","47","","1,528","","148","","210","","1,103","","7,257",""
"2016100000","2016年度","40131","福岡県 福岡市 東区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","19","","10","","209","","20","","99","","416","","1,427",""
"2016100000","2016年度","40132","福岡県 福岡市 博多区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","17","","6","","264","","19","","0","","185","","1,089",""
"2016100000","2016年度","40133","福岡県 福岡市 中央区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","16","","5","","368","","27","","0","","123","","501",""
"2016100000","2016年度","40134","福岡県 福岡市 南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","17","","14","","6","","222","","18","","0","","18","","1,314",""
"2016100000","2016年度","40135","福岡県 福岡市 西区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","15","","12","","156","","23","","111","","246","","1,230",""
"2016100000","2016年度","40136","福岡県 福岡市 城南区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","9","","8","","3","","105","","15","","0","","87","","575",""
"2016100000","2016年度","40137","福岡県 福岡市 早良区","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","13","","13","","5","","204","","26","","0","","28","","1,121",""
"2015100000","2015年度","40130","福岡県 福岡市","","1,478,656","","696,551","","782,105","","372,245","","444,855","","172,816","","232,328","","82,089","","131,359","","28,131","","58,319","","***","","***","","***","","***","","***","","764,820","","116","","103","","46","","1,493","","149","","271","","1,119","","6,351",""
